"","ConsecutiveNumber","CruiseID","StationID","Net_index","Date","Longitude","Latitude","target_organisms","target_org_code","Gear","operation_mode","size_range_minimum_g","size_range_maximum_g","size_range_minimum_micrometers","size_range_maximum_micrometers","Catching_Depth_max_m","Catching_Depth_min_m","Biomass_determination","Contact_Person","filtered_volume_m3","day_night","SST","primprod","salinity","O2_dissolved","pH","chla","nitrate","silicate","SST_C_insitu","Temperature__C_insitu","Salinity_insitu","Oxygen__umol_kg_insitu","Chlorophyll__mg_m_3_insitu","Nitrate__uM_L_1_insitu","g_C_individual","X5.68E.14","X1.14E.13","X2.27E.13","X4.55E.13","X9.09E.13","X1.82E.12","X3.64E.12","X7.28E.12","X1.46E.11","X2.91E.11","X5.82E.11","X1.16E.10","X2.33E.10","X4.66E.10","X9.31E.10","X0.00000000186","X0.00000000373","X0.00000000745","X0.0000000149","X0.0000000298","X0.0000000596","X0.000000119","X0.000000238","X0.000000477","X0.000000954","X0.00000191","X0.00000381","X0.00000763","X0.0000153","X0.0000305","X0.000061","X0.000122","X0.000244","X0.000488","X0.000977","X0.00195","X0.00391","X0.00781","X0.0156","X0.0313","X0.0625","X0.125","X0.25","X0.5","X1","X2","X4","X8","X16","X32","X64","X128","X256","X512","X1020","NBSS_slope","Comment","Old_target_organisms","OKtarget_organisms","target_target_org_code_code","log10_1X_chla_insitu","target.org.colour","target_organisms_UVP_NET","slope.clean","new_slopes"
"381","#REF!","Abra�os 2","14","","2017-04-13",-34.6756598,-8.321901,"phytoplankton",4,"Niskin Bottles","",NA,NA,0.5,150,50,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,344.675018,36,"4",8.148649,0.034126,1,2,NA,28.05,37.42,NA,0.28,0.4,"gC m-3",6.36e+10,1.07e+10,8.9e+08,5.64e+08,NA,NA,NA,25100,NA,75900,1760,800,11500,41900,22500,9520,14700,NA,1240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.370569545,"","Phytoplankton","phytoplankton","4",0.107209969647868,"forestgreen","phytoplankton",-1.370569545,""
"382","#REF!","Abra�os 2","15","","2017-04-14",-34.7625325,-7.7786417,"phytoplankton",4,"Niskin Bottles","",NA,NA,0.5,150,16,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27.455303,361,36,"4",8.154499,0.097185,1,2,NA,29.21,37.25,NA,1.18,0.7,"gC m-3",NA,1.94e+11,4.74e+09,2.19e+09,NA,NA,NA,10000,NA,19000,NA,NA,4060,4390,578,1580,123000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.610452056,"","Phytoplankton","phytoplankton","4",0.338456493604605,"forestgreen","phytoplankton",-1.610452056,""
"383","#REF!","Abra�os 2","16","","2017-04-14",-34.0208042,-7.59948,"phytoplankton",4,"Niskin Bottles","",NA,NA,0.5,150,50,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,333.51297,36,"4",8.169972,0.026115,1,2,28.43,28.43,37.02,NA,0.08,0.5,"gC m-3",1.84e+11,1.29e+09,2e+08,3.92e+08,NA,NA,NA,4450,NA,67000,NA,2800,30000,152000,NA,25300,3900,2240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.292099029,"","Phytoplankton","phytoplankton","4",0.0334237554869497,"forestgreen","phytoplankton",-1.292099029,""
"384","#REF!","Abra�os 2","16","","2017-04-14",-34.0208042,-7.59948,"phytoplankton",4,"Niskin Bottles","",NA,NA,0.5,150,110,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,333.51297,36,"4",8.169972,0.026115,1,2,28.43,23.99,37.09,NA,0.23,0.5,"gC m-3",93400000,NA,NA,18500000,NA,NA,NA,1110,NA,31300,NA,1200,6650,26900,NA,15800,2440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.86312795,"","Phytoplankton","phytoplankton","4",0.0899051114393979,"forestgreen","phytoplankton",-0.86312795,""
"385","#REF!","Abra�os 2","19","","2017-04-15",-34.4713758,-7.2519473,"phytoplankton",4,"Niskin Bottles","",NA,NA,0.5,150,53,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,337.321472,36,"4",8.1665,0.032798,1,2,NA,26.51,37.32,NA,0.31,0.6,"gC m-3",1.72e+11,5.52e+10,2.7e+09,4.58e+08,NA,NA,NA,3910,NA,42300,439,NA,9230,91000,1150,10600,11700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.57870898,"","Phytoplankton","phytoplankton","4",0.117271295655764,"forestgreen","phytoplankton",-1.57870898,""
"386","#REF!","Abra�os 2","21","","2017-04-16",-34.2699275,-6.8761558,"phytoplankton",4,"Niskin Bottles","",NA,NA,0.5,150,51,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,321.211212,36,"4",8.17345,0.026347,1,2,28.3,28.3,37.37,NA,0.11,0.4,"gC m-3",1.99e+11,1e+09,3.86e+08,3.92e+08,NA,NA,NA,2230,NA,21400,439,NA,8500,70300,578,10600,6850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.446682179,"","Phytoplankton","phytoplankton","4",0.0453229787866575,"forestgreen","phytoplankton",-1.446682179,""
"387","#REF!","Abra�os 2","21","","2017-04-16",-34.2699275,-6.8761558,"phytoplankton",4,"Niskin Bottles","",NA,NA,0.5,150,122,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,321.211212,36,"4",8.17345,0.026347,1,2,28.3,23.89,37.14,NA,0.26,0.3,"gC m-3",8.22e+10,26700000,1.13e+09,3.66e+08,NA,NA,NA,NA,NA,24700,439,400,2960,17600,NA,11100,NA,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.480084163,"","Phytoplankton","phytoplankton","4",0.100370545117563,"forestgreen","phytoplankton",-1.480084163,""
"388","#REF!","Abra�os 2","23","","2017-04-17",-34.7384213,-6.3364257,"phytoplankton",4,"Niskin Bottles","",NA,NA,0.5,150,50,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,397,36,"4",8.172111,0.029674,0.311848,2,27.46,27.46,37.29,NA,0.19,0.2,"gC m-3",1.73e+11,6.29e+10,1.92e+09,2.64e+08,NA,NA,NA,3350,NA,20400,NA,1200,7380,25800,NA,13200,3900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.609802891,"","Phytoplankton","phytoplankton","4",0.0755469613925307,"forestgreen","phytoplankton",-1.609802891,""
"389","#REF!","Abra�os 2","23","","2017-04-17",-34.7384213,-6.3364257,"phytoplankton",4,"Niskin Bottles","",NA,NA,0.5,150,89,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,397,36,"4",8.172111,0.029674,0.311848,2,27.46,25.74,37.27,NA,0.02,0.1,"gC m-3",1.84e+11,1.16e+10,2.63e+09,4.58e+08,NA,NA,NA,3910,NA,29500,NA,NA,4810,30100,1150,12100,1470,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.538921007,"","Phytoplankton","phytoplankton","4",0.00860017176191757,"forestgreen","phytoplankton",-1.538921007,""
"390","#REF!","Abra�os 2","24","","2017-04-17",-34.9635008,-6.163746,"phytoplankton",4,"Niskin Bottles","",NA,NA,0.5,150,20,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27.12109,395.825012,36,"4",8.16955,0.073807,0,2,NA,29.31,37.42,NA,0.33,0.1,"gC m-3",NA,2.18e+11,1.29e+09,1.17e+09,NA,NA,NA,557,NA,35100,1320,1600,28100,1880,2310,1580,8310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.604572486,"","Phytoplankton","phytoplankton","4",0.123851640967086,"forestgreen","phytoplankton",-1.604572486,""
"391","#REF!","Abra�os 2","26","","2017-04-18",-34.8064807,-5.7951543,"phytoplankton",4,"Niskin Bottles","",NA,NA,0.5,150,95,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,344.38092,36,"4",8.175703,0.02717,0,2,NA,24.77,37.32,NA,0.38,0.3,"gC m-3",8.46e+10,NA,1.09e+09,1.92e+08,NA,NA,NA,2230,NA,81100,881,800,4810,43900,NA,10600,4890,1340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.35334973,"","Phytoplankton","phytoplankton","4",0.139879086401236,"forestgreen","phytoplankton",-1.35334973,""
"392","#REF!","Abra�os 2","28","","2017-04-18",-34.783051,-5.6101953,"phytoplankton",4,"Niskin Bottles","",NA,NA,0.5,150,50,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,342.750793,36,"4",8.177376,0.026925,0,2,28.58,28.58,37.27,NA,0.1,0.3,"gC m-3",1.15e+11,3.51e+10,7.32e+08,2.1e+08,NA,NA,NA,37300,NA,69400,15400,NA,20000,89700,1730,35400,6340,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.443747339,"","Phytoplankton","phytoplankton","4",0.0413926851582251,"forestgreen","phytoplankton",-1.443747339,""
"393","#REF!","Abra�os 2","28","","2017-04-18",-34.783051,-5.6101953,"phytoplankton",4,"Niskin Bottles","",NA,NA,0.5,150,101,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,342.750793,36,"4",8.177376,0.026925,0,2,28.58,24.64,37.31,NA,0.47,0.5,"gC m-3",7.69e+10,NA,1e+09,1.87e+08,NA,NA,NA,3910,NA,128000,NA,NA,4810,41900,578,15300,1470,898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.388669036,"","Phytoplankton","phytoplankton","4",0.167317334748176,"forestgreen","phytoplankton",-1.388669036,""
"394","#REF!","Abra�os 2","29","","2017-04-19",-35.2211178,-5.1901342,"phytoplankton",4,"Niskin Bottles","",NA,NA,0.5,150,18,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27.004772,391.006042,36,"4",8.173986,0.053309,0,2,NA,28.8,36.68,NA,0.25,0.3,"gC m-3",1.67e+11,1.11e+11,2.14e+09,3.99e+08,NA,NA,NA,402000,NA,21400,1320,400,6270,58300,NA,12100,7820,450,413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.537796171,"","Phytoplankton","phytoplankton","4",0.0969100130080564,"forestgreen","phytoplankton",-1.537796171,""
"395","#REF!","Abra�os 2","31","","2017-04-19",-34.9740737,-4.9665128,"phytoplankton",4,"Niskin Bottles","",NA,NA,0.5,150,50,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,313.522339,36,"4",8.178566,0.02612,0,2,28.78,28.78,36.99,NA,0.15,0.2,"gC m-3",1.14e+11,3.25e+10,5.83e+08,2.15e+08,NA,NA,NA,12300,NA,36400,NA,2000,10700,109000,578,30100,4890,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.473069152,"","Phytoplankton","phytoplankton","4",0.0606978403536116,"forestgreen","phytoplankton",-1.473069152,""
"396","#REF!","Abra�os 2","31","","2017-04-19",-34.9740737,-4.9665128,"phytoplankton",4,"Niskin Bottles","",NA,NA,0.5,150,120,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,313.522339,36,"4",8.178566,0.02612,0,2,28.78,24.81,37.33,NA,0.42,0.4,"gC m-3",9.72e+10,NA,7.68e+08,1.88e+08,NA,NA,NA,5010,518,114000,3080,2400,4810,46500,1730,13200,NA,2240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.363977988,"","Phytoplankton","phytoplankton","4",0.152288344383056,"forestgreen","phytoplankton",-1.363977988,""
"397","#REF!","Abra�os 2","33","","2017-04-20",-35.5811598,-4.7279665,"phytoplankton",4,"Niskin Bottles","",NA,NA,0.5,150,50,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,400.808044,36,"4",8.171537,0.035865,0,2,28.33,28.33,36.41,NA,0.46,0.2,"gC m-3",1.47e+11,4.77e+10,2.31e+09,5.04e+08,NA,NA,NA,21200,1550,15200,1320,400,6270,49500,NA,6360,9780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.646530453,"","Phytoplankton","phytoplankton","4",0.164352855784437,"forestgreen","phytoplankton",-1.646530453,""
"398","#REF!","Abra�os 2","33","","2017-04-20",-35.5811598,-4.7279665,"phytoplankton",4,"Niskin Bottles","",NA,NA,0.5,150,63,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,400.808044,36,"4",8.171537,0.035865,0,2,28.33,27.07,36.81,NA,0.67,0.2,"gC m-3",5.42e+10,1.79e+10,4.21e+09,8.77e+08,NA,NA,NA,24600,NA,41900,NA,NA,8110,15100,2880,5280,4410,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.53064333,"","Phytoplankton","phytoplankton","4",0.222716471147583,"forestgreen","phytoplankton",-1.53064333,""
"399","#REF!","Abra�os 2","39","","2017-04-20",-34.0266555,-4.9078495,"phytoplankton",4,"Niskin Bottles","",NA,NA,0.5,150,49,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,358.59613,36,"4",8.192294,0.027039,0,2,28.96,28.96,36.09,NA,0,0.3,"gC m-3",1.59e+11,2.98e+09,1.04e+08,1.61e+08,NA,NA,NA,2790,1030,63200,22800,NA,31100,1880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.844729083,"","Phytoplankton","phytoplankton","4",0,"forestgreen","phytoplankton",-1.844729083,""
"400","#REF!","Abra�os 2","39","","2017-04-24",-34.0266555,-4.9078495,"phytoplankton",4,"Niskin Bottles","",NA,NA,0.5,150,100,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,358.59613,36,"4",8.192294,0.027039,0,2,28.96,25.37,37.02,NA,0,0.4,"gC m-3",6.84e+10,5.18e+08,1.57e+10,1.2e+08,NA,NA,NA,1110,NA,83500,9240,400,7770,20700,578,1580,489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.621414671,"","Phytoplankton","phytoplankton","4",0,"forestgreen","phytoplankton",-1.621414671,""
"401","#REF!","Abra�os 2","40","","2017-04-26",-32.5518778,-3.519792,"phytoplankton",4,"Niskin Bottles","",NA,NA,0.5,150,26,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,285.49176,36,"4",8.221092,0.029033,0,1.246429,28.88,28.88,35.98,NA,0.48,0.3,"gC m-3",7.67e+10,1.44e+10,1.66e+08,98200000,NA,NA,NA,139000,518,15700,1320,800,370,1250,578,528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.869370173,"","Phytoplankton","phytoplankton","4",0.170261715394957,"forestgreen","phytoplankton",-1.869370173,""
